Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 457, (True, False): 88, (False, True): 13, (True, True): 4}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.7491103202846975 Counts: Counter({(False, False): 391, (False, True): 79, (True, False): 62, (True, True): 30}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8291814946619217 Counts: Counter({(False, False): 457, (True, False): 83, (False, True): 13, (True, True): 9}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8291814946619217 Counts: Counter({(False, False): 457, (True, False): 83, (False, True): 13, (True, True): 9}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8362989323843416 Counts: Counter({(False, False): 417, (True, True): 53, (False, True): 53, (True, False): 39}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8291814946619217 Counts: Counter({(False, False): 455, (True, False): 81, (False, True): 15, (True, True): 11}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8362989323843416 Counts: Counter({(False, False): 417, (True, True): 53, (False, True): 53, (True, False): 39}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.708185053380783 Counts: Counter({(False, False): 371, (False, True): 99, (True, False): 65, (True, True): 27}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8291814946619217 Counts: Counter({(False, False): 457, (True, False): 83, (False, True): 13, (True, True): 9}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.9341637010676157 Counts: Counter({(False, False): 452, (True, True): 73, (True, False): 19, (False, True): 18}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': True}
Accuracy: 0.7491103202846975 Counts: Counter({(False, False): 391, (False, True): 79, (True, False): 62, (True, True): 30}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 457, (True, False): 88, (False, True): 13, (True, True): 4}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.7491103202846975 Counts: Counter({(False, False): 391, (False, True): 79, (True, False): 62, (True, True): 30}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 457, (True, False): 88, (False, True): 13, (True, True): 4}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.9341637010676157 Counts: Counter({(False, False): 452, (True, True): 73, (True, False): 19, (False, True): 18}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': True}
Accuracy: 0.9341637010676157 Counts: Counter({(False, False): 452, (True, True): 73, (True, False): 19, (False, True): 18}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': True}
